dRFl	dRFd	dJ	dth
0.9572077615	0.9570057676	0.9479979951	99.4584378528
0.9571401168	0.9569166732	0.9478067241	99.4563454692
0.9569465264	0.9567105124	0.9476043321	99.4542531077
0.9567179749	0.9564703305	0.9473908227	99.452141747
0.9564987777	0.9562866	0.94718105	99.4500113877
0.9562688807	0.956061391	0.9469805809	99.4479761551
0.9561196724	0.9559075368	0.946781989	99.4458838815
0.955996118	0.9557471686	0.9465778507	99.4437345689
0.9559574215	0.9556185108	0.946371879	99.4415472393
0.9559163947	0.9555215571	0.9461696403	99.4394550334
0.95583481	0.9553607552	0.9459600028	99.43732481
0.9556562682	0.9552316574	0.9457633728	99.4352706876
0.9555234215	0.9551109565	0.9455667633	99.4331975671
0.9554054987	0.9549828075	0.9453701741	99.4310864299
0.9552414442	0.9548569969	0.9451643339	99.429032372
0.955034066	0.9546794782	0.9449659325	99.4270163728
0.9550517739	0.9546860009	0.9447916531	99.4250384312
0.9549096499	0.9545173496	0.9446025596	99.4230224725
0.9546249679	0.954256016	0.9443856816	99.4209114433
0.9544386197	0.9540357038	0.9441743885	99.4187243647
0.9542052441	0.953768848	0.9439612659	99.4166323989
0.9539877322	0.95351367	0.9437407556	99.4145404551
0.9539234615	0.953387025	0.9435313874	99.4123914812
0.9537865441	0.9532613196	0.9433275999	99.4103185993
0.9536622093	0.9532236095	0.9431312437	99.4082647559
0.9534345159	0.9531030356	0.9429274995	99.4061348666
0.9532906501	0.9529773488	0.9427311849	99.4040810664
0.9530830183	0.9528083831	0.9425256321	99.4019322056
0.9528144339	0.9525589183	0.9423126957	99.3999354973
0.9526687532	0.9524593277	0.9421201478	99.3979197932
0.9525235491	0.9522876159	0.9419257685	99.3959041094
0.9523760292	0.9521280169	0.9417314092	99.3939645085
0.9522271249	0.9519637789	0.9415315177	99.3919298494
0.9520200742	0.9517367536	0.9413112914	99.3898191504
0.9519665703	0.951694422	0.9411169955	99.3876894587
0.9519037634	0.9516399969	0.9409356708	99.3856358491
0.951778621	0.9514920804	0.9407377138	99.3835442315
0.9516818622	0.9514148707	0.9405397775	99.3813765783
0.9516325543	0.9513841737	0.9403566588	99.3793230338
0.9515246397	0.951293016	0.9401513651	99.3771554267
0.9514041732	0.9511995373	0.9399349987	99.3749498155
0.9513427801	0.9512344168	0.9397371469	99.3728583104
0.9511837254	0.9511181541	0.9395356184	99.3708238674
0.9509451683	0.9508503118	0.9393304143	99.3687894452
0.9507921912	0.9506806048	0.939136323	99.3667360308
0.9506564286	0.9505918053	0.9389422517	99.3646636249
0.9505941298	0.9505569375	0.9387555926	99.3626292658
0.9504500136	0.9503956242	0.9385597128	99.3606139399
0.9503505333	0.9502631436	0.9383675488	99.35856061
0.9502557064	0.9500986018	0.9381754044	99.3565073013
0.9502491989	0.9500339974	0.9379795852	99.3543779666
0.9501348555	0.9498694753	0.9377782452	99.3523056895
0.9500479406	0.9497969786	0.9375880081	99.3502714569
0.9498002316	0.9497105438	0.9373737835	99.3482562564
0.9496859153	0.9496515288	0.9371762015	99.3462030542
0.9495544135	0.9494782118	0.9369731015	99.3441498732
0.949333251	0.9492282542	0.9367644854	99.3420586922
0.9490740217	0.9490006263	0.9365411257	99.3399105019
0.9488988994	0.9488487347	0.9363399402	99.3378003552
0.9487381913	0.9486555202	0.9361313946	99.335690231
0.9486257966	0.948504585	0.9359357888	99.3336181488
0.948398241	0.9482807587	0.9357328233	99.3316791557
0.9481883567	0.9481279961	0.935539104	99.3297401816
0.9479399618	0.9478972504	0.9353361815	99.3277632078
0.9476683896	0.947642395	0.9351222144	99.3257102174
0.9475272803	0.9474892197	0.9349304026	99.3237522926
0.9473476596	0.947274331	0.9347146378	99.3216423176
0.9472604082	0.9471666638	0.934532087	99.3196083989
0.9470975186	0.9470065665	0.9343421794	99.3176125176
0.9469596999	0.9468218913	0.9341522911	99.3155976483
0.9468645784	0.9467444073	0.9339624221	99.3135637915
0.9468186434	0.9466956915	0.9337744155	99.3114919402
0.9467513668	0.9466107897	0.9335882708	99.3094391179
0.9466998671	0.946499449	0.9334150438	99.3074623462
0.946615893	0.9464419254	0.9332270923	99.3053715513
0.9464456366	0.9462619438	0.933035475	99.3033377992
0.94640667	0.9461849466	0.9328530883	99.3013230747
0.9463732706	0.9461575809	0.9326725615	99.2993273772
0.9463305946	0.946027715	0.9324828429	99.2972936871
0.946170568	0.9458060361	0.9322765689	99.2952220054
0.9459437708	0.9455547077	0.9320611106	99.2931693513
0.9457503885	0.945367856	0.9318475184	99.2911167184
0.9456029305	0.9452055928	0.9316449967	99.2890641068
0.9454508474	0.9450025517	0.9314443378	99.2869735056
0.9452700328	0.9447990689	0.931251063	99.2849589471
0.944973349	0.9446530754	0.9310412444	99.283020429
0.9447930436	0.944537679	0.9308480114	99.2810439202
0.9445682653	0.9442814222	0.9306474384	99.2791054403
0.9444686299	0.9441493685	0.9304560861	99.2770719572
0.9444352647	0.9441136924	0.930272112	99.2750955076
0.9443421236	0.9440590213	0.9300826378	99.2731000737
0.9443323927	0.9440909898	0.9298987007	99.2711046598
0.9441947754	0.944021957	0.9297184599	99.2691852806
0.944095623	0.9438514708	0.9295327199	99.2671899061
0.9440177873	0.9437036976	0.9293451597	99.265156545
0.9439047461	0.9435313874	0.9291521028	99.2631422079
0.9437768879	0.9433757659	0.9289609043	99.2611278912
0.9435772426	0.9431951499	0.9287495058	99.2590375841
0.9433313049	0.9429460207	0.9285362934	99.2569853041
0.9431400423	0.942758964	0.9283341318	99.2550470591
0.9429645422	0.94257887	0.9281319923	99.2530328245
0.9428737887	0.9425154477	0.9279555976	99.2510186104
0.9426663685	0.9423256564	0.9277571736	99.2490804236
0.942488598	0.9421881853	0.9275606078	99.2470662496
0.9422969579	0.9419919478	0.9273677363	99.2450900987
0.9421358842	0.9418420064	0.9271822313	99.2431139675
0.9420303606	0.9416860616	0.9270040904	99.241175858
0.9418327512	0.9415125476	0.9268131131	99.2392187665
0.9416180422	0.9413038893	0.9266129752	99.2372236932
0.9415162491	0.9412178419	0.926423874	99.2351716387
0.9413654203	0.941116533	0.9262292851	99.2331576058
0.9411914733	0.9409356708	0.9260292103	99.2311815934
0.9409925642	0.9407543635	0.9258163104	99.2290916017
0.9408191141	0.9406248691	0.9256181153	99.2270396312
0.9406484549	0.9404597765	0.9254291156	99.2250636798
0.9404607014	0.9402651061	0.9252272926	99.223011751
0.9403307647	0.940133796	0.9250254916	99.2210168405
0.9402239551	0.9400075804	0.9248347182	99.2190599479
0.9401102166	0.9398499384	0.9246439644	99.2170650772
0.9400182136	0.9396844516	0.9244495626	99.2150702265
0.9399280643	0.939493559	0.9242533475	99.2130563976
0.939880911	0.9393733944	0.9240644872	99.2109665968
0.9397408449	0.9392324419	0.9238738129	99.2089718075
0.939610958	0.9391155287	0.9236904908	99.2070150336
0.9394773826	0.9390124847	0.9235053539	99.2050392815
0.9393327251	0.9388239705	0.9233184028	99.2030445518
0.939243995	0.9386835212	0.9231333032	99.2010118478
0.9392102602	0.9386382471	0.922961049	99.1990361555
0.9390499126	0.9384516181	0.9227723208	99.1970604828
0.9388784898	0.93828025	0.9225964362	99.1951798127
0.9387833131	0.938116287	0.9224150727	99.1931851821
0.9386299315	0.9379823561	0.9222264003	99.1911715754
0.9384054257	0.9377486926	0.922017601	99.189082005
0.9381195199	0.9375843143	0.9218124878	99.1870684399
0.9379306336	0.9374208739	0.9216165528	99.1850358996
0.9378161103	0.9373179229	0.9214371166	99.183041371
0.9377191404	0.9371697389	0.9212558671	99.1810278672
0.9376083237	0.9369984878	0.9210709744	99.1790523739
0.9373820935	0.9367469479	0.9208659665	99.1770199157
0.9372662187	0.9366551096	0.9206811129	99.1749874784
0.9371341949	0.9364585263	0.9204962779	99.1729360675
0.9370164892	0.9363191769	0.9203096317	99.1709986433
0.9368397137	0.9361212447	0.9201120269	99.1689852617
0.9366449569	0.9359325596	0.9199217608	99.1670098883
0.9365065166	0.9357545026	0.9197223685	99.1649775536
0.9363500912	0.9355981401	0.9195193397	99.1629452397
0.9361890653	0.9354413295	0.919329135	99.1609889198
0.9360372798	0.9352517907	0.9191462643	99.1590326192
0.9358269227	0.9350585823	0.9189524413	99.1570953308
0.9355566302	0.9348741538	0.9187458412	99.1551200758
0.9353002112	0.9346524026	0.9185356082	99.153125848
0.9350724152	0.9344744674	0.9183253993	99.1510936555
0.9349815812	0.9344191542	0.9181426286	99.1491184604
0.9348331209	0.9343205165	0.9179617034	99.1471432849
0.9347141768	0.9341942308	0.9177881051	99.1452061126
0.9346155234	0.9340513632	0.9176126961	99.143382909
0.934532548	0.9339287823	0.9174208618	99.1414457735
0.9343421794	0.9336979281	0.9172107805	99.1394706745
0.9340933006	0.9334634168	0.9169988968	99.137457613
0.933909889	0.9333072458	0.9168053003	99.1354825536
0.9336864091	0.9330663351	0.9165971156	99.133450542
0.9334247183	0.9328627599	0.9163871287	99.1314565321
0.9331699736	0.9326638119	0.9161917711	99.1294815325
0.9330359356	0.9325569782	0.9160146893	99.1275065526
0.9329341469	0.9324354163	0.915828498	99.1254556328
0.932789073	0.9322995894	0.9156423256	99.1234047342
0.9325823046	0.9321582479	0.9154506973	99.1214488044
0.9323718757	0.931973185	0.9152517901	99.1194359259
0.932141214	0.9318194402	0.9150529046	99.1174040787
0.9320044879	0.9316615658	0.914866811	99.1153532633
0.9318921682	0.9315055457	0.9146843848	99.1133024693
0.9317453342	0.9312828139	0.9144873848	99.1112516964
0.9316288879	0.93110612	0.914299525	99.1092389214
0.9314553827	0.9308981581	0.9140989194	99.1072261669
0.9313214679	0.9307463421	0.9139001591	99.1052514087
0.9311778999	0.9305972985	0.9137141828	99.1033146458
